sample_id,plan_split,inventory_status,classification,curvature_template,depth_bin,size_bin,aspect_bin,L_m,W_m,D_m,wLD,wWD,wLW,mesh_validation_pass,schema_pass,failure_reason,recommended_action
rbc_pilot_026_shallow_medium_balanced_boxy,train,pass,success,boxy,shallow,medium_balanced,balanced,0.016,0.009,0.0013,1.1,1.1,1.1,True,True,,keep_as_partial_source
rbc_pilot_027_shallow_large_wide_boxy,train,pass,success,boxy,shallow,large_wide,wide,0.024,0.015,0.0016,1.1,1.1,1.1,True,True,,keep_as_partial_source
rbc_pilot_028_shallow_elongated_boxy,val,pass,success,boxy,shallow,elongated,narrow,0.018,0.006,0.0018,1.1,1.1,1.1,True,True,,keep_as_partial_source
rbc_pilot_029_medium_small_compact_boxy,train,pass,success,boxy,medium,small_compact,compact,0.012,0.007,0.0022,1.1,1.1,1.1,True,True,,keep_as_partial_source
rbc_pilot_030_medium_medium_balanced_boxy,train,pass,success,boxy,medium,medium_balanced,balanced,0.019,0.0105,0.0026,1.1,1.1,1.1,True,True,,keep_as_partial_source
rbc_pilot_031_medium_large_wide_boxy,train,pass,success,boxy,medium,large_wide,wide,0.027,0.0175,0.0031,1.1,1.1,1.1,True,True,,keep_as_partial_source
rbc_pilot_032_medium_elongated_boxy,test,pass,success,boxy,medium,elongated,narrow,0.024,0.008,0.0035,1.1,1.1,1.1,True,True,,keep_as_partial_source
rbc_pilot_033_deep_small_compact_boxy,train,not_attempted,not_attempted,boxy,deep,small_compact,compact,0.014,0.008,0.0045,1.1,1.1,1.1,True,False,not attempted after partial generation reached target_successes,topup_required_to_complete_full_pack
rbc_pilot_034_deep_medium_balanced_boxy,train,not_attempted,not_attempted,boxy,deep,medium_balanced,balanced,0.022,0.012,0.005,1.1,1.1,1.1,True,False,not attempted after partial generation reached target_successes,topup_required_to_complete_full_pack
rbc_pilot_035_deep_large_wide_boxy,val,not_attempted,not_attempted,boxy,deep,large_wide,wide,0.03,0.02,0.0055,1.1,1.1,1.1,True,False,not attempted after partial generation reached target_successes,topup_required_to_complete_full_pack
rbc_pilot_036_deep_elongated_boxy,test,not_attempted,not_attempted,boxy,deep,elongated,narrow,0.03,0.01,0.006,1.1,1.1,1.1,True,False,not attempted after partial generation reached target_successes,bounded_retry_then_adjusted_replacement
rbc_pilot_037_shallow_small_compact_LD_dominant,val,not_attempted,not_attempted,LD_dominant,shallow,small_compact,compact,0.01,0.006,0.001,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_038_shallow_medium_balanced_LD_dominant,test,not_attempted,not_attempted,LD_dominant,shallow,medium_balanced,balanced,0.016,0.009,0.0013,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_039_shallow_large_wide_LD_dominant,train,not_attempted,not_attempted,LD_dominant,shallow,large_wide,wide,0.024,0.015,0.0016,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_040_shallow_elongated_LD_dominant,train,not_attempted,not_attempted,LD_dominant,shallow,elongated,narrow,0.018,0.006,0.0018,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_041_medium_small_compact_LD_dominant,val,not_attempted,not_attempted,LD_dominant,medium,small_compact,compact,0.012,0.007,0.0022,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_042_medium_medium_balanced_LD_dominant,train,not_attempted,not_attempted,LD_dominant,medium,medium_balanced,balanced,0.019,0.0105,0.0026,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_043_medium_large_wide_LD_dominant,train,not_attempted,not_attempted,LD_dominant,medium,large_wide,wide,0.027,0.0175,0.0031,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_044_medium_elongated_LD_dominant,train,not_attempted,not_attempted,LD_dominant,medium,elongated,narrow,0.024,0.008,0.0035,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_045_deep_small_compact_LD_dominant,test,not_attempted,not_attempted,LD_dominant,deep,small_compact,compact,0.014,0.008,0.0045,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_046_deep_medium_balanced_LD_dominant,train,not_attempted,not_attempted,LD_dominant,deep,medium_balanced,balanced,0.022,0.012,0.005,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_047_deep_large_wide_LD_dominant,train,not_attempted,not_attempted,LD_dominant,deep,large_wide,wide,0.03,0.02,0.0055,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_048_deep_elongated_LD_dominant,train,not_attempted,not_attempted,LD_dominant,deep,elongated,narrow,0.03,0.01,0.006,1.2,0.85,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_049_shallow_small_compact_WD_dominant,train,not_attempted,not_attempted,WD_dominant,shallow,small_compact,compact,0.01,0.006,0.001,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_050_shallow_medium_balanced_WD_dominant,train,not_attempted,not_attempted,WD_dominant,shallow,medium_balanced,balanced,0.016,0.009,0.0013,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_051_shallow_large_wide_WD_dominant,test,not_attempted,not_attempted,WD_dominant,shallow,large_wide,wide,0.024,0.015,0.0016,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_052_shallow_elongated_WD_dominant,train,not_attempted,not_attempted,WD_dominant,shallow,elongated,narrow,0.018,0.006,0.0018,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_053_medium_small_compact_WD_dominant,train,not_attempted,not_attempted,WD_dominant,medium,small_compact,compact,0.012,0.007,0.0022,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_054_medium_medium_balanced_WD_dominant,val,not_attempted,not_attempted,WD_dominant,medium,medium_balanced,balanced,0.019,0.0105,0.0026,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_055_medium_large_wide_WD_dominant,test,not_attempted,not_attempted,WD_dominant,medium,large_wide,wide,0.027,0.0175,0.0031,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_056_medium_elongated_WD_dominant,train,not_attempted,not_attempted,WD_dominant,medium,elongated,narrow,0.024,0.008,0.0035,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_057_deep_small_compact_WD_dominant,train,not_attempted,not_attempted,WD_dominant,deep,small_compact,compact,0.014,0.008,0.0045,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_058_deep_medium_balanced_WD_dominant,val,not_attempted,not_attempted,WD_dominant,deep,medium_balanced,balanced,0.022,0.012,0.005,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_059_deep_large_wide_WD_dominant,train,not_attempted,not_attempted,WD_dominant,deep,large_wide,wide,0.03,0.02,0.0055,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
rbc_pilot_060_deep_elongated_WD_dominant,train,not_attempted,not_attempted,WD_dominant,deep,elongated,narrow,0.03,0.01,0.006,0.85,1.2,1.0,True,False,not attempted after partial generation reached target_successes,topup_required_missing_curvature_family
