selection_bucket,sample_id,split,true_shape_type,pred_shape_type,true_L_mm,pred_L_mm,true_W_mm,pred_W_mm,true_D_mm,pred_D_mm,true_burial_depth_mm,pred_burial_depth_mm,true_center_xyz_mm,pred_center_xyz_mm,L_error_mm,W_error_mm,D_error_mm,burial_depth_error_mm,center_xyz_error_mm,total_abs_normalized_error,failure_tags,preview_path
worst_center,internal_pilot_016,test,internal_sphere,internal_sphere,1.2000000476837158,2.0370612144470215,1.2000000476837158,1.7819687128067017,1.2000000476837158,1.1508779525756836,3.1999998092651367,2.3536977767944336,"-12.0,3.0,-3.799999952316284","-8.248906135559082,-0.7882292866706848,-2.33321213722229",0.8370611071586609,0.5819686651229858,0.04912214353680611,0.8463021516799927,5.529272079467773,0.5764431953430176,center_outlier|dimension_outlier,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_center_internal_pilot_016.png
worst_burial,internal_pilot_091,test,internal_cuboid,internal_ellipsoid,3.5,2.8608696460723877,3.5,2.452511787414551,1.2000000476837158,1.1015374660491943,4.199999809265137,2.5262744426727295,"12.0,-3.0,-4.800000190734863","8.419283866882324,-1.098283052444458,-3.3510899543762207",0.6391303539276123,1.0474883317947388,0.09846256673336029,1.6737254858016968,4.305508136749268,0.6526303887367249,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_burial_internal_pilot_091.png
worst_burial,internal_topup_045,test,internal_cuboid,internal_cuboid,5.0,4.0571770668029785,5.0,6.402916431427002,1.399999976158142,1.3555854558944702,0.7999999523162842,2.332653045654297,"24.0,6.0,-1.5","23.408987045288086,-2.6125059127807617,-3.130256175994873",0.9428229928016663,1.402916431427002,0.044414542615413666,1.5326530933380127,8.785345077514648,0.8880208134651184,center_outlier|burial_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_burial_internal_topup_045.png
worst_burial,internal_pilot_042,test,internal_ellipsoid,internal_ellipsoid,3.75,3.783411741256714,8.0,3.069706439971924,1.399999976158142,1.1923872232437134,2.0,3.2520592212677,"0.0,3.0,-2.700000047683716","2.3389549255371094,0.015354657545685768,-3.544935941696167",0.0334118977189064,4.930294036865234,0.2076127529144287,1.2520591020584106,3.884936809539795,0.8811408281326294,center_outlier|burial_outlier|dimension_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_burial_internal_pilot_042.png
worst_burial,internal_topup_044,test,internal_ellipsoid,internal_ellipsoid,3.5,4.09779167175293,3.5,2.9431958198547363,1.2000000476837158,1.2411282062530518,4.199999809265137,2.9575231075286865,"-6.0,6.0,-4.800000190734863","-1.7326598167419434,-0.8734667301177979,-2.9816153049468994",0.5977917313575745,0.5568042397499084,0.04112813621759415,1.2424767017364502,8.292242050170898,0.7612118721008301,center_outlier|burial_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_burial_internal_topup_044.png
worst_burial,internal_pilot_006,test,internal_sphere,internal_sphere,1.399999976158142,1.4911857843399048,1.399999976158142,1.2386499643325806,1.399999976158142,1.210955262184143,0.7999999523162842,1.859673261642456,"-12.0,3.0,-1.5","-8.386366844177246,1.5202269554138184,-2.8072550296783447",0.0911857932806015,0.16135001182556152,0.18904462456703186,1.0596733093261719,4.117886543273926,0.5369745492935181,center_outlier|burial_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_burial_internal_pilot_006.png
shape_misclassified,internal_pilot_091,test,internal_cuboid,internal_ellipsoid,3.5,2.8608696460723877,3.5,2.452511787414551,1.2000000476837158,1.1015374660491943,4.199999809265137,2.5262744426727295,"12.0,-3.0,-4.800000190734863","8.419283866882324,-1.098283052444458,-3.3510899543762207",0.6391303539276123,1.0474883317947388,0.09846256673336029,1.6737254858016968,4.305508136749268,0.6526303887367249,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\shape_misclassified_internal_pilot_091.png
full_shift_failure,internal_pilot_006,test,internal_sphere,internal_sphere,1.399999976158142,1.4911857843399048,1.399999976158142,1.2386499643325806,1.399999976158142,1.210955262184143,0.7999999523162842,1.859673261642456,"-12.0,3.0,-1.5","-8.386366844177246,1.5202269554138184,-2.8072550296783447",0.0911857932806015,0.16135001182556152,0.18904462456703186,1.0596733093261719,4.117886543273926,0.5369745492935181,center_outlier|burial_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\full_shift_failure_internal_pilot_006.png
full_shift_failure,internal_pilot_042,test,internal_ellipsoid,internal_ellipsoid,3.75,3.783411741256714,8.0,3.069706439971924,1.399999976158142,1.1923872232437134,2.0,3.2520592212677,"0.0,3.0,-2.700000047683716","2.3389549255371094,0.015354657545685768,-3.544935941696167",0.0334118977189064,4.930294036865234,0.2076127529144287,1.2520591020584106,3.884936809539795,0.8811408281326294,center_outlier|burial_outlier|dimension_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\full_shift_failure_internal_pilot_042.png
full_shift_failure,internal_pilot_091,test,internal_cuboid,internal_ellipsoid,3.5,2.8608696460723877,3.5,2.452511787414551,1.2000000476837158,1.1015374660491943,4.199999809265137,2.5262744426727295,"12.0,-3.0,-4.800000190734863","8.419283866882324,-1.098283052444458,-3.3510899543762207",0.6391303539276123,1.0474883317947388,0.09846256673336029,1.6737254858016968,4.305508136749268,0.6526303887367249,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\full_shift_failure_internal_pilot_091.png
full_shift_failure,internal_topup_044,test,internal_ellipsoid,internal_ellipsoid,3.5,4.09779167175293,3.5,2.9431958198547363,1.2000000476837158,1.2411282062530518,4.199999809265137,2.9575231075286865,"-6.0,6.0,-4.800000190734863","-1.7326598167419434,-0.8734667301177979,-2.9816153049468994",0.5977917313575745,0.5568042397499084,0.04112813621759415,1.2424767017364502,8.292242050170898,0.7612118721008301,center_outlier|burial_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\full_shift_failure_internal_topup_044.png
full_shift_failure,internal_topup_045,test,internal_cuboid,internal_cuboid,5.0,4.0571770668029785,5.0,6.402916431427002,1.399999976158142,1.3555854558944702,0.7999999523162842,2.332653045654297,"24.0,6.0,-1.5","23.408987045288086,-2.6125059127807617,-3.130256175994873",0.9428229928016663,1.402916431427002,0.044414542615413666,1.5326530933380127,8.785345077514648,0.8880208134651184,center_outlier|burial_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\full_shift_failure_internal_topup_045.png
geometry_branch_failure,internal_pilot_091,test,internal_cuboid,internal_ellipsoid,3.5,2.8608696460723877,3.5,2.452511787414551,1.2000000476837158,1.1015374660491943,4.199999809265137,2.5262744426727295,"12.0,-3.0,-4.800000190734863","8.419283866882324,-1.098283052444458,-3.3510899543762207",0.6391303539276123,1.0474883317947388,0.09846256673336029,1.6737254858016968,4.305508136749268,0.6526303887367249,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\geometry_branch_failure_internal_pilot_091.png
