candidate,seed,group_type,group,threshold,n,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
mask_boundary_candidate,2026,area_bin,small,mask_prob>=0.5,67,N/A,N/A,0.2903143900626169,0.43180264773632265,1.2019165146249242,1.2190385492948386,2,4,63,-0.47979947682598467,0.17036276999701627
mask_boundary_candidate,2026,area_bin,medium,mask_prob>=0.5,66,N/A,N/A,0.3762894033686073,0.5351399641689353,0.5597765032960356,1.1998207691770333,1,10,56,0.351652864241507,0.17036276999701627
mask_boundary_candidate,2026,area_bin,large,mask_prob>=0.5,67,N/A,N/A,0.4577451219526511,0.6178170847657176,0.43632728414284233,0.874464658992504,0,10,57,0.6392349225755265,0.17036276999701627
mask_boundary_candidate,2026,signal_bin,low_signal,mask_prob>=0.5,67,N/A,N/A,0.30403677550179214,0.4454009821188308,0.9374831592049463,1.2208323415834457,3,10,57,-0.18804540158432337,0.17036276999701627
mask_boundary_candidate,2026,signal_bin,non_low_signal,mask_prob>=0.5,133,N/A,N/A,0.4104107065318118,0.5699390519610885,0.630798586979303,1.0352008871566085,0,14,119,0.34955117151359727,0.17036276999701627
mask_boundary_candidate_mean,mean,area_bin,large,mask_prob>=0.5,67,N/A,N/A,0.45807381767516486,0.6169704032141894,0.41641354722769014,0.9260112460035442,0.0,11.333333333333334,55.666666666666664,0.6586306736616642,0.13627365533838767
mask_boundary_candidate_std,sample_std,area_bin,large,mask_prob>=0.5,67,N/A,N/A,0.008647972517162286,0.007946650003647708,0.05333514757122314,0.050946854733994545,0.0,1.5275252316519468,1.5275252316519465,0.06909873319261502,0.030524686270431315
mask_boundary_candidate_mean,mean,area_bin,medium,mask_prob>=0.5,66,N/A,N/A,0.3767269225378768,0.5352631126689805,0.6090592026135383,1.211983868782499,0.3333333333333333,7.333333333333333,58.666666666666664,0.30293083259331893,0.13627365533838767
mask_boundary_candidate_std,sample_std,area_bin,medium,mask_prob>=0.5,66,N/A,N/A,0.0027456809832642672,0.004480837190778717,0.05751123521159154,0.0897492716336919,0.5773502691896258,2.516611478423583,2.516611478423583,0.05256560565458651,0.030524686270431315
mask_boundary_candidate_mean,mean,area_bin,small,mask_prob>=0.5,67,N/A,N/A,0.2934925497136953,0.4359058490125362,1.2821389389660516,1.2064446330307848,1.3333333333333333,2.3333333333333335,64.66666666666667,-0.55274054023982,0.13627365533838767
mask_boundary_candidate_std,sample_std,area_bin,small,mask_prob>=0.5,67,N/A,N/A,0.003846369961678244,0.004757926669037703,0.08744567279069594,0.020416605056535447,0.5773502691896257,1.5275252316519465,1.5275252316519468,0.08640571394301778,0.030524686270431315
mask_boundary_candidate_mean,mean,overall,all,mask_prob>=0.5,200,N/A,N/A,0.37609461751276746,0.5293503716767166,0.770004619737371,1.113482846888407,1.6666666666666667,21.0,179.0,0.1354403694521131,0.13627365533838767
mask_boundary_candidate_std,sample_std,overall,all,mask_prob>=0.5,200,N/A,N/A,0.0031102376259285144,0.0032217571456529407,0.034386222674442114,0.022017212195329212,1.1547005383792517,3.605551275463989,3.605551275463989,0.030433580679135753,0.030524686270431315
mask_boundary_candidate_mean,mean,signal_bin,low_signal,mask_prob>=0.5,67,N/A,N/A,0.30614505259314734,0.4475851513881655,1.007927563582643,1.2523649972839976,1.6666666666666667,9.0,58.0,-0.25419735960133,0.13627365533838767
mask_boundary_candidate_std,sample_std,signal_bin,low_signal,mask_prob>=0.5,67,N/A,N/A,0.0026982450870672125,0.00377534697029289,0.08599107389876563,0.06359989678685579,1.1547005383792517,2.6457513110645907,2.6457513110645907,0.07965871470636854,0.030524686270431315
mask_boundary_candidate_mean,mean,signal_bin,non_low_signal,mask_prob>=0.5,133,N/A,N/A,0.41133236826174907,0.5705403698671898,0.650148700657422,1.045192079469188,0.0,12.0,121.0,0.33172403747151685,0.13627365533838767
mask_boundary_candidate_std,sample_std,signal_bin,non_low_signal,mask_prob>=0.5,133,N/A,N/A,0.0034430908563469367,0.003014571459968662,0.019552174286169136,0.010098569474565654,0.0,1.7320508075688772,1.7320508075688772,0.02251757347729223,0.030524686270431315
