sample_id,split,curvature_template,depth_bin,aspect_bin,L_m,W_m,D_m,wLD,wWD,wLW
rbc_pilot_019_medium_large_wide_round,test,round,medium,wide,0.027,0.0175,0.0031,0.707,0.707,0.707
rbc_pilot_020_medium_elongated_round,train,round,medium,narrow,0.024,0.008,0.0035,0.707,0.707,0.707
rbc_pilot_021_deep_small_compact_round,train,round,deep,compact,0.014,0.008,0.0045,0.707,0.707,0.707
rbc_pilot_022_deep_medium_balanced_round,val,round,deep,balanced,0.022,0.012,0.005,0.707,0.707,0.707
rbc_pilot_023_deep_large_wide_round,train,round,deep,wide,0.03,0.02,0.0055,0.707,0.707,0.707
rbc_pilot_025_shallow_small_compact_boxy,train,boxy,shallow,compact,0.01,0.006,0.001,1.1,1.1,1.1
rbc_pilot_026_shallow_medium_balanced_boxy,train,boxy,shallow,balanced,0.016,0.009,0.0013,1.1,1.1,1.1
rbc_pilot_027_shallow_large_wide_boxy,train,boxy,shallow,wide,0.024,0.015,0.0016,1.1,1.1,1.1
rbc_pilot_028_shallow_elongated_boxy,val,boxy,shallow,narrow,0.018,0.006,0.0018,1.1,1.1,1.1
rbc_pilot_029_medium_small_compact_boxy,train,boxy,medium,compact,0.012,0.007,0.0022,1.1,1.1,1.1
rbc_pilot_030_medium_medium_balanced_boxy,train,boxy,medium,balanced,0.019,0.0105,0.0026,1.1,1.1,1.1
rbc_pilot_031_medium_large_wide_boxy,train,boxy,medium,wide,0.027,0.0175,0.0031,1.1,1.1,1.1
rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.024,0.008,0.0035,1.1,1.1,1.1
rbc_pilot_037_shallow_small_compact_LD_dominant,val,LD_dominant,shallow,compact,0.01,0.006,0.001,1.2,0.85,1.0
rbc_pilot_038_shallow_medium_balanced_LD_dominant,test,LD_dominant,shallow,balanced,0.016,0.009,0.0013,1.2,0.85,1.0
rbc_pilot_039_shallow_large_wide_LD_dominant,train,LD_dominant,shallow,wide,0.024,0.015,0.0016,1.2,0.85,1.0
rbc_pilot_040_shallow_elongated_LD_dominant,train,LD_dominant,shallow,narrow,0.018,0.006,0.0018,1.2,0.85,1.0
rbc_pilot_041_medium_small_compact_LD_dominant,val,LD_dominant,medium,compact,0.012,0.007,0.0022,1.2,0.85,1.0
rbc_pilot_042_medium_medium_balanced_LD_dominant,train,LD_dominant,medium,balanced,0.019,0.0105,0.0026,1.2,0.85,1.0
rbc_pilot_043_medium_large_wide_LD_dominant,train,LD_dominant,medium,wide,0.027,0.0175,0.0031,1.2,0.85,1.0
rbc_pilot_044_medium_elongated_LD_dominant,train,LD_dominant,medium,narrow,0.024,0.008,0.0035,1.2,0.85,1.0
rbc_pilot_045_deep_small_compact_LD_dominant,test,LD_dominant,deep,compact,0.014,0.008,0.0045,1.2,0.85,1.0
rbc_pilot_047_deep_large_wide_LD_dominant,train,LD_dominant,deep,wide,0.03,0.02,0.0055,1.2,0.85,1.0
rbc_pilot_048_deep_elongated_LD_dominant,train,LD_dominant,deep,narrow,0.03,0.01,0.006,1.2,0.85,1.0
rbc_pilot_049_shallow_small_compact_WD_dominant,train,WD_dominant,shallow,compact,0.01,0.006,0.001,0.85,1.2,1.0
rbc_pilot_050_shallow_medium_balanced_WD_dominant,train,WD_dominant,shallow,balanced,0.016,0.009,0.0013,0.85,1.2,1.0
rbc_pilot_051_shallow_large_wide_WD_dominant,test,WD_dominant,shallow,wide,0.024,0.015,0.0016,0.85,1.2,1.0
rbc_pilot_052_shallow_elongated_WD_dominant,train,WD_dominant,shallow,narrow,0.018,0.006,0.0018,0.85,1.2,1.0
rbc_pilot_053_medium_small_compact_WD_dominant,train,WD_dominant,medium,compact,0.012,0.007,0.0022,0.85,1.2,1.0
rbc_pilot_054_medium_medium_balanced_WD_dominant,val,WD_dominant,medium,balanced,0.019,0.0105,0.0026,0.85,1.2,1.0
rbc_pilot_055_medium_large_wide_WD_dominant,test,WD_dominant,medium,wide,0.027,0.0175,0.0031,0.85,1.2,1.0
rbc_pilot_058_deep_medium_balanced_WD_dominant,val,WD_dominant,deep,balanced,0.022,0.012,0.005,0.85,1.2,1.0
rbc_pilot_059_deep_large_wide_WD_dominant,train,WD_dominant,deep,wide,0.03,0.02,0.0055,0.85,1.2,1.0
rbc_pilot_060_deep_elongated_WD_dominant,train,WD_dominant,deep,narrow,0.03,0.01,0.006,0.85,1.2,1.0
rbc_pilot_033_deep_small_compact_boxy,train,boxy,deep,compact,0.014,0.008,0.0045,1.1,1.1,1.1
rbc_pilot_034_deep_medium_balanced_boxy,train,boxy,deep,balanced,0.022,0.012,0.005,1.1,1.1,1.1
rbc_pilot_035_deep_large_wide_boxy,val,boxy,deep,wide,0.03,0.02,0.0055,1.1,1.1,1.1
rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.03,0.01,0.006,1.1,1.1,1.1
rbc_topup_safety_train_wd_medium_balanced,train,WD_dominant,medium,balanced,0.0205,0.0115,0.0028,0.83,1.16,1.02
rbc_v2topup_001_shallow_small_compact_sharp,train,sharp,shallow,compact,0.01,0.00609,0.001,0.55,0.619,0.55
rbc_v2topup_002_shallow_medium_balanced_sharp,train,sharp,shallow,balanced,0.01576,0.009134999999999999,0.001274,0.55,0.619,0.55
rbc_v2topup_003_shallow_large_wide_sharp,train,sharp,shallow,wide,0.02364,0.015224999999999997,0.001568,0.55,0.619,0.55
rbc_v2topup_004_shallow_elongated_sharp,train,sharp,shallow,narrow,0.01773,0.00609,0.001764,0.55,0.619,0.55
rbc_v2topup_005_medium_small_compact_sharp,train,sharp,medium,compact,0.01182,0.007104999999999999,0.0022,0.55,0.619,0.55
rbc_v2topup_006_medium_medium_balanced_sharp,train,sharp,medium,balanced,0.018715,0.0106575,0.002548,0.55,0.619,0.55
rbc_v2topup_007_medium_large_wide_sharp,train,sharp,medium,wide,0.026595,0.0177625,0.003038,0.55,0.619,0.55
rbc_v2topup_009_deep_small_compact_sharp,train,sharp,deep,compact,0.01379,0.008119999999999999,0.00441,0.55,0.619,0.55
rbc_v2topup_010_deep_medium_balanced_sharp,train,sharp,deep,balanced,0.02167,0.01218,0.0049,0.55,0.619,0.55
rbc_v2topup_011_deep_large_wide_sharp,train,sharp,deep,wide,0.02955,0.02,0.00539,0.55,0.619,0.55
rbc_v2topup_012_shallow_small_compact_round,train,round,shallow,compact,0.01,0.00609,0.001,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_013_shallow_medium_balanced_round,train,round,shallow,balanced,0.01576,0.009134999999999999,0.001274,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_014_shallow_large_wide_round,train,round,shallow,wide,0.02364,0.015224999999999997,0.001568,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_015_shallow_elongated_round,train,round,shallow,narrow,0.01773,0.00609,0.001764,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_016_medium_small_compact_round,train,round,medium,compact,0.01182,0.007104999999999999,0.0022,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_017_medium_medium_balanced_round,train,round,medium,balanced,0.018715,0.0106575,0.002548,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_018_medium_large_wide_round,train,round,medium,wide,0.026595,0.0177625,0.003038,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_019_medium_elongated_round,train,round,medium,narrow,0.02364,0.008119999999999999,0.00343,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_020_deep_small_compact_round,train,round,deep,compact,0.01379,0.008119999999999999,0.00441,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_021_deep_medium_balanced_round,train,round,deep,balanced,0.02167,0.01218,0.0049,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_022_deep_large_wide_round,train,round,deep,wide,0.02955,0.02,0.00539,0.6779999999999999,0.726,0.6874999999999999
rbc_v2topup_023_shallow_small_compact_boxy,train,boxy,shallow,compact,0.01,0.00609,0.001,1.071,1.1190000000000002,1.0805
rbc_v2topup_024_shallow_medium_balanced_boxy,train,boxy,shallow,balanced,0.01576,0.009134999999999999,0.001274,1.071,1.1190000000000002,1.0805
rbc_v2topup_025_shallow_large_wide_boxy,train,boxy,shallow,wide,0.02364,0.015224999999999997,0.001568,1.071,1.1190000000000002,1.0805
rbc_v2topup_026_shallow_elongated_boxy,train,boxy,shallow,narrow,0.01773,0.00609,0.001764,1.071,1.1190000000000002,1.0805
rbc_v2topup_027_medium_small_compact_boxy,train,boxy,medium,compact,0.01182,0.007104999999999999,0.0022,1.071,1.1190000000000002,1.0805
rbc_v2topup_028_medium_medium_balanced_boxy,train,boxy,medium,balanced,0.018715,0.0106575,0.002548,1.071,1.1190000000000002,1.0805
rbc_v2topup_029_medium_large_wide_boxy,train,boxy,medium,wide,0.026595,0.0177625,0.003038,1.071,1.1190000000000002,1.0805
rbc_v2topup_031_deep_small_compact_boxy,train,boxy,deep,compact,0.01379,0.008119999999999999,0.00441,1.071,1.1190000000000002,1.0805
rbc_v2topup_032_deep_medium_balanced_boxy,train,boxy,deep,balanced,0.02167,0.01218,0.0049,1.071,1.1190000000000002,1.0805
rbc_v2topup_033_deep_large_wide_boxy,train,boxy,deep,wide,0.02955,0.02,0.00539,1.071,1.1190000000000002,1.0805
rbc_v2topup_034_shallow_small_compact_LD_dominant,train,LD_dominant,shallow,compact,0.01,0.00609,0.001,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_035_shallow_medium_balanced_LD_dominant,train,LD_dominant,shallow,balanced,0.01576,0.009134999999999999,0.001274,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_036_shallow_large_wide_LD_dominant,val,LD_dominant,shallow,wide,0.02364,0.015224999999999997,0.001568,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_037_shallow_elongated_LD_dominant,test,LD_dominant,shallow,narrow,0.01773,0.00609,0.001764,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_038_medium_small_compact_LD_dominant,train,LD_dominant,medium,compact,0.01182,0.007104999999999999,0.0022,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_039_medium_medium_balanced_LD_dominant,val,LD_dominant,medium,balanced,0.018715,0.0106575,0.002548,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_040_medium_large_wide_LD_dominant,test,LD_dominant,medium,wide,0.026595,0.0177625,0.003038,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_041_medium_elongated_LD_dominant,train,LD_dominant,medium,narrow,0.02364,0.008119999999999999,0.00343,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_042_deep_small_compact_LD_dominant,val,LD_dominant,deep,compact,0.01379,0.008119999999999999,0.00441,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_043_deep_medium_balanced_LD_dominant,test,LD_dominant,deep,balanced,0.02167,0.01218,0.0049,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_044_deep_medium_balanced_LD_dominant,train,LD_dominant,deep,balanced,0.022363494999999997,0.01180229655516725,0.0051040799999999996,1.2,0.818,1.021
rbc_v2topup_045_deep_large_wide_LD_dominant,val,LD_dominant,deep,wide,0.02955,0.02,0.00539,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_046_shallow_small_compact_WD_dominant,test,WD_dominant,shallow,compact,0.01,0.00609,0.001,0.821,1.2,0.9804999999999999
rbc_v2topup_047_shallow_medium_balanced_WD_dominant,train,WD_dominant,shallow,balanced,0.01576,0.009134999999999999,0.001274,0.821,1.2,0.9804999999999999
rbc_v2topup_048_shallow_large_wide_WD_dominant,val,WD_dominant,shallow,wide,0.02364,0.015224999999999997,0.001568,0.821,1.2,0.9804999999999999
rbc_v2topup_049_shallow_elongated_WD_dominant,test,WD_dominant,shallow,narrow,0.01773,0.00609,0.001764,0.821,1.2,0.9804999999999999
rbc_v2topup_050_medium_large_wide_WD_dominant,train,WD_dominant,medium,wide,0.026595,0.01740725,0.00294686,0.821,1.2,0.9804999999999999
rbc_v2topup_051_deep_medium_balanced_WD_dominant,val,WD_dominant,deep,balanced,0.02167,0.0119364,0.004752999999999999,0.821,1.2,0.9804999999999999
rbc_v2topup_052_deep_large_wide_WD_dominant,test,WD_dominant,deep,wide,0.02955,0.0196,0.0052283,0.821,1.2,0.9804999999999999
rbc_v2topup_056_deep_elongated_round,train,round,deep,narrow,0.0275,0.0108,0.0053,0.734,0.6749999999999999,0.728
rbc_v2topup_057_deep_elongated_boxy,val,boxy,deep,narrow,0.0275,0.0108,0.0053,1.071,1.1190000000000002,1.0805
rbc_v2topup_058_deep_elongated_LD_dominant,test,LD_dominant,deep,narrow,0.0275,0.0108,0.0053,1.1709999999999998,0.869,0.9804999999999999
rbc_v2topup_059_medium_small_compact_WD_dominant,train,WD_dominant,medium,compact,0.01182,0.006962899999999999,0.0022,0.821,1.2,0.9804999999999999
rbc_v2topup_063_deep_small_compact_WD_dominant,val,WD_dominant,deep,compact,0.014231315,0.007710833749375936,0.0044558618399999994,0.877,1.168,1.021
rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,compact,0.01053175,0.006,0.0010524800000000002,0.6010000000000001,0.55,0.55
