source_pack,sample_id,split,curvature_template,depth_bin,size_bin,aspect_bin,schema_pass,delta_max_abs_error,defect_signal_norm
v2_120_source,rbc_pilot_055_medium_large_wide_WD_dominant,test,WD_dominant,medium,large_wide,wide,True,0.0,0.01909762424833523
v2_120_source,rbc_pilot_058_deep_medium_balanced_WD_dominant,val,WD_dominant,deep,medium_balanced,balanced,True,0.0,0.01803854415697136
v2_120_source,rbc_pilot_059_deep_large_wide_WD_dominant,train,WD_dominant,deep,large_wide,wide,True,0.0,0.019484063870810593
v2_120_source,rbc_pilot_060_deep_elongated_WD_dominant,train,WD_dominant,deep,elongated,narrow,True,0.0,0.017897548650230514
v2_120_source,rbc_pilot_033_deep_small_compact_boxy,train,boxy,deep,small_compact,compact,True,0.0,0.020907794417010565
v2_120_source,rbc_pilot_034_deep_medium_balanced_boxy,train,boxy,deep,medium_balanced,balanced,True,0.0,0.021072407566729803
v2_120_source,rbc_pilot_035_deep_large_wide_boxy,val,boxy,deep,large_wide,wide,True,0.0,0.022881125638097105
v2_120_source,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,elongated,narrow,True,0.0,0.020864256890151228
v2_120_source,rbc_topup_safety_train_wd_medium_balanced,train,WD_dominant,medium,medium_balanced,balanced,True,0.0,0.018888855609765835
v2_120_source,rbc_v2topup_001_shallow_small_compact_sharp,train,sharp,shallow,small_compact,compact,True,0.0,0.02000815581576366
v2_120_source,rbc_v2topup_002_shallow_medium_balanced_sharp,train,sharp,shallow,medium_balanced,balanced,True,0.0,0.02114151169822752
v2_120_source,rbc_v2topup_003_shallow_large_wide_sharp,train,sharp,shallow,large_wide,wide,True,0.0,0.022736619139704307
v2_120_source,rbc_v2topup_004_shallow_elongated_sharp,train,sharp,shallow,elongated,narrow,True,0.0,0.021513796880387
v2_120_source,rbc_v2topup_005_medium_small_compact_sharp,train,sharp,medium,small_compact,compact,True,0.0,0.021591052517349375
v2_120_source,rbc_v2topup_006_medium_medium_balanced_sharp,train,sharp,medium,medium_balanced,balanced,True,0.0,0.02083294482257145
v2_120_source,rbc_v2topup_007_medium_large_wide_sharp,train,sharp,medium,large_wide,wide,True,0.0,0.021760561851493603
v2_120_source,rbc_v2topup_009_deep_small_compact_sharp,train,sharp,deep,small_compact,compact,True,0.0,0.02163069527962919
v2_120_source,rbc_v2topup_010_deep_medium_balanced_sharp,train,sharp,deep,medium_balanced,balanced,True,0.0,0.019900957490492224
v2_120_source,rbc_v2topup_011_deep_large_wide_sharp,train,sharp,deep,large_wide,wide,True,0.0,0.021470319072221952
v2_120_source,rbc_v2topup_012_shallow_small_compact_round,train,round,shallow,small_compact,compact,True,0.0,0.022052155346052482
v2_120_source,rbc_v2topup_013_shallow_medium_balanced_round,train,round,shallow,medium_balanced,balanced,True,0.0,0.022681147946804203
v2_120_source,rbc_v2topup_014_shallow_large_wide_round,train,round,shallow,large_wide,wide,True,0.0,0.022759852251094163
v2_120_source,rbc_v2topup_015_shallow_elongated_round,train,round,shallow,elongated,narrow,True,0.0,0.022190294780081013
v2_120_source,rbc_v2topup_016_medium_small_compact_round,train,round,medium,small_compact,compact,True,0.0,0.021692340175003558
v2_120_source,rbc_v2topup_017_medium_medium_balanced_round,train,round,medium,medium_balanced,balanced,True,0.0,0.021158389221815236
v2_120_source,rbc_v2topup_018_medium_large_wide_round,train,round,medium,large_wide,wide,True,0.0,0.022905316945279433
v2_120_source,rbc_v2topup_019_medium_elongated_round,train,round,medium,elongated,narrow,True,0.0,0.020293451266377046
v2_120_source,rbc_v2topup_020_deep_small_compact_round,train,round,deep,small_compact,compact,True,0.0,0.020312878224467163
v2_120_source,rbc_v2topup_021_deep_medium_balanced_round,train,round,deep,medium_balanced,balanced,True,0.0,0.020713261291058382
v2_120_source,rbc_v2topup_022_deep_large_wide_round,train,round,deep,large_wide,wide,True,0.0,0.021619676381400704
v2_120_source,rbc_v2topup_023_shallow_small_compact_boxy,train,boxy,shallow,small_compact,compact,True,0.0,0.02026452063536004
v2_120_source,rbc_v2topup_024_shallow_medium_balanced_boxy,train,boxy,shallow,medium_balanced,balanced,True,0.0,0.021363493940257876
v2_120_source,rbc_v2topup_025_shallow_large_wide_boxy,train,boxy,shallow,large_wide,wide,True,0.0,0.020349967587299178
v2_120_source,rbc_v2topup_026_shallow_elongated_boxy,train,boxy,shallow,elongated,narrow,True,0.0,0.020170673973559695
v2_120_source,rbc_v2topup_027_medium_small_compact_boxy,train,boxy,medium,small_compact,compact,True,0.0,0.02032369453433506
v2_120_source,rbc_v2topup_028_medium_medium_balanced_boxy,train,boxy,medium,medium_balanced,balanced,True,0.0,0.019571046292520374
v2_120_source,rbc_v2topup_029_medium_large_wide_boxy,train,boxy,medium,large_wide,wide,True,0.0,0.019918380549786403
v2_120_source,rbc_v2topup_031_deep_small_compact_boxy,train,boxy,deep,small_compact,compact,True,0.0,0.0188875586838032
v2_120_source,rbc_v2topup_032_deep_medium_balanced_boxy,train,boxy,deep,medium_balanced,balanced,True,0.0,0.01994507649669411
v2_120_source,rbc_v2topup_033_deep_large_wide_boxy,train,boxy,deep,large_wide,wide,True,0.0,0.01966135018217169
v2_120_source,rbc_v2topup_034_shallow_small_compact_LD_dominant,train,LD_dominant,shallow,small_compact,compact,True,0.0,0.020216302740907747
v2_120_source,rbc_v2topup_035_shallow_medium_balanced_LD_dominant,train,LD_dominant,shallow,medium_balanced,balanced,True,0.0,0.021602051166175276
v2_120_source,rbc_v2topup_036_shallow_large_wide_LD_dominant,val,LD_dominant,shallow,large_wide,wide,True,0.0,0.02110969892209169
v2_120_source,rbc_v2topup_037_shallow_elongated_LD_dominant,test,LD_dominant,shallow,elongated,narrow,True,0.0,0.02200444754671057
v2_120_source,rbc_v2topup_038_medium_small_compact_LD_dominant,train,LD_dominant,medium,small_compact,compact,True,0.0,0.020118713957253835
v2_120_source,rbc_v2topup_039_medium_medium_balanced_LD_dominant,val,LD_dominant,medium,medium_balanced,balanced,True,0.0,0.020761851040739618
v2_120_source,rbc_v2topup_040_medium_large_wide_LD_dominant,test,LD_dominant,medium,large_wide,wide,True,0.0,0.02057850058742546
v2_120_source,rbc_v2topup_041_medium_elongated_LD_dominant,train,LD_dominant,medium,elongated,narrow,True,0.0,0.02125301789333464
v2_120_source,rbc_v2topup_042_deep_small_compact_LD_dominant,val,LD_dominant,deep,small_compact,compact,True,0.0,0.019792383859478624
v2_120_source,rbc_v2topup_043_deep_medium_balanced_LD_dominant,test,LD_dominant,deep,medium_balanced,balanced,True,0.0,0.018848109619671996
v2_120_source,rbc_v2topup_044_deep_medium_balanced_LD_dominant,train,LD_dominant,deep,medium_balanced,balanced,True,0.0,0.019939328286950754
v2_120_source,rbc_v2topup_045_deep_large_wide_LD_dominant,val,LD_dominant,deep,large_wide,wide,True,0.0,0.021047900650293484
v2_120_source,rbc_v2topup_046_shallow_small_compact_WD_dominant,test,WD_dominant,shallow,small_compact,compact,True,0.0,0.01996598426179593
v2_120_source,rbc_v2topup_047_shallow_medium_balanced_WD_dominant,train,WD_dominant,shallow,medium_balanced,balanced,True,0.0,0.021894082907832527
v2_120_source,rbc_v2topup_048_shallow_large_wide_WD_dominant,val,WD_dominant,shallow,large_wide,wide,True,0.0,0.020846357885428116
v2_120_source,rbc_v2topup_049_shallow_elongated_WD_dominant,test,WD_dominant,shallow,elongated,narrow,True,0.0,0.020313249454168993
v2_120_source,rbc_v2topup_050_medium_large_wide_WD_dominant,train,WD_dominant,medium,large_wide,wide,True,0.0,0.020109493513254837
v2_120_source,rbc_v2topup_051_deep_medium_balanced_WD_dominant,val,WD_dominant,deep,medium_balanced,balanced,True,0.0,0.019093762397125454
v2_120_source,rbc_v2topup_052_deep_large_wide_WD_dominant,test,WD_dominant,deep,large_wide,wide,True,0.0,0.01931562362111519
v2_120_source,rbc_v2topup_056_deep_elongated_round,train,round,deep,elongated,narrow,True,0.0,0.019878737617726037
v2_120_source,rbc_v2topup_057_deep_elongated_boxy,val,boxy,deep,elongated,narrow,True,0.0,0.02004779595898139
v2_120_source,rbc_v2topup_058_deep_elongated_LD_dominant,test,LD_dominant,deep,elongated,narrow,True,0.0,0.019045171980305947
v2_120_source,rbc_v2topup_059_medium_small_compact_WD_dominant,train,WD_dominant,medium,small_compact,compact,True,0.0,0.0191711037178357
v2_120_source,rbc_v2topup_063_deep_small_compact_WD_dominant,val,WD_dominant,deep,small_compact,compact,True,0.0,0.01516223044294662
v2_120_source,rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,small_compact,compact,True,0.0,0.02243692756800431
v3_topup_20_76,rbc_v3topup_004_train_WD_dominant_deep_compact,train,WD_dominant,deep,small_compact,compact,True,0.0,0.018993018119056525
v3_topup_20_76,rbc_v3topup_005_train_WD_dominant_deep_narrow,train,WD_dominant,deep,elongated,narrow,True,0.0,0.01805023958106535
v3_topup_20_76,rbc_v3topup_007_train_WD_dominant_deep_compact,train,WD_dominant,deep,small_compact,compact,True,0.0,0.019067620261081376
v3_topup_20_76,rbc_v3topup_008_train_WD_dominant_medium_balanced,train,WD_dominant,medium,medium_balanced,balanced,True,0.0,0.021557494250193716
v3_topup_20_76,rbc_v3topup_009_train_WD_dominant_deep_wide,train,WD_dominant,deep,large_wide,wide,True,0.0,0.019994896110002654
v3_topup_20_76,rbc_v3topup_010_train_WD_dominant_shallow_narrow,train,WD_dominant,shallow,elongated,narrow,True,0.0,0.021119603813494092
v3_topup_20_76,rbc_v3topup_011_train_WD_dominant_medium_wide,train,WD_dominant,medium,large_wide,wide,True,0.0,0.020643374360210694
v3_topup_20_76,rbc_v3topup_012_train_WD_dominant_deep_balanced,train,WD_dominant,deep,medium_balanced,balanced,True,0.0,0.01918386716027145
v3_topup_20_76,rbc_v3topup_013_train_WD_dominant_medium_compact,train,WD_dominant,medium,small_compact,compact,True,0.0,0.021706325052139055
v3_topup_20_76,rbc_v3topup_014_train_WD_dominant_shallow_balanced,train,WD_dominant,shallow,medium_balanced,balanced,True,0.0,0.021231231862814174
v3_topup_20_76,rbc_v3topup_015_train_WD_dominant_shallow_wide,train,WD_dominant,shallow,large_wide,wide,True,0.0,0.021385287339363773
v3_topup_20_76,rbc_v3topup_016_train_WD_dominant_shallow_compact,train,WD_dominant,shallow,small_compact,compact,True,0.0,0.02082914910273442
v3_topup_20_76,rbc_v3topup_018_train_WD_dominant_medium_balanced,train,WD_dominant,medium,medium_balanced,balanced,True,0.0,0.021401212565881206
v3_topup_20_76,rbc_v3topup_019_train_WD_dominant_deep_wide,train,WD_dominant,deep,large_wide,wide,True,0.0,0.019065305248492863
v3_topup_20_76,rbc_v3topup_020_train_WD_dominant_shallow_narrow,train,WD_dominant,shallow,elongated,narrow,True,0.0,0.02069797637834117
v3_topup_20_76,rbc_v3topup_021_train_WD_dominant_medium_compact,train,WD_dominant,medium,small_compact,compact,True,0.0,0.019507754348337757
v3_topup_20_76,rbc_v3topup_022_train_WD_dominant_deep_balanced,train,WD_dominant,deep,medium_balanced,balanced,True,0.0,0.017987279643763503
v3_topup_20_76,rbc_v3topup_025_train_sharp_deep_narrow,train,sharp,deep,elongated,narrow,True,0.0,0.019943781062709286
v3_topup_20_76,rbc_v3topup_026_train_sharp_medium_narrow,train,sharp,medium,elongated,narrow,True,0.0,0.02104091112195401
v3_topup_20_76,rbc_v3topup_028_train_sharp_medium_wide,train,sharp,medium,large_wide,wide,True,0.0,0.021340378617734097
v3_topup_20_76,rbc_v3topup_029_train_sharp_shallow_narrow,train,sharp,shallow,elongated,narrow,True,0.0,0.021089125518668695
v3_topup_20_76,rbc_v3topup_030_train_sharp_medium_compact,train,sharp,medium,small_compact,compact,True,0.0,0.021399247974894748
v3_topup_20_76,rbc_v3topup_032_train_sharp_deep_wide,train,sharp,deep,large_wide,wide,True,0.0,0.02154886374478751
v3_topup_20_76,rbc_v3topup_033_train_sharp_medium_balanced,train,sharp,medium,medium_balanced,balanced,True,0.0,0.021410072722082493
v3_topup_20_76,rbc_v3topup_035_train_sharp_shallow_wide,train,sharp,shallow,large_wide,wide,True,0.0,0.0219999749450044
v3_topup_20_76,rbc_v3topup_036_train_sharp_shallow_balanced,train,sharp,shallow,medium_balanced,balanced,True,0.0,0.021490464574904253
v3_topup_20_76,rbc_v3topup_037_train_sharp_shallow_narrow,train,sharp,shallow,elongated,narrow,True,0.0,0.021279529832075154
v3_topup_20_76,rbc_v3topup_038_train_round_deep_narrow,train,round,deep,elongated,narrow,True,0.0,0.020345007043683146
v3_topup_20_76,rbc_v3topup_039_train_round_deep_narrow,train,round,deep,elongated,narrow,True,0.0,0.02040930982899399
v3_topup_20_76,rbc_v3topup_040_train_round_medium_narrow,train,round,medium,elongated,narrow,True,0.0,0.020819173998646367
v3_topup_20_76,rbc_v3topup_041_train_round_medium_compact,train,round,medium,small_compact,compact,True,0.0,0.021174850114088057
v3_topup_20_76,rbc_v3topup_042_train_round_medium_wide,train,round,medium,large_wide,wide,True,0.0,0.022917355036096525
v3_topup_20_76,rbc_v3topup_043_train_round_medium_balanced,train,round,medium,medium_balanced,balanced,True,0.0,0.02117711345818823
v3_topup_20_76,rbc_v3topup_044_train_round_deep_compact,train,round,deep,small_compact,compact,True,0.0,0.020215664783992972
v3_topup_20_76,rbc_v3topup_045_train_round_shallow_narrow,train,round,shallow,elongated,narrow,True,0.0,0.0212617190600056
v3_topup_20_76,rbc_v3topup_046_train_round_deep_wide,train,round,deep,large_wide,wide,True,0.0,0.02185748232802685
v3_topup_20_76,rbc_v3topup_047_train_round_deep_balanced,train,round,deep,medium_balanced,balanced,True,0.0,0.020500414964762785
v3_topup_20_76,rbc_v3topup_048_train_round_shallow_compact,train,round,shallow,small_compact,compact,True,0.0,0.019846968471602954
v3_topup_20_76,rbc_v3topup_049_train_round_shallow_wide,train,round,shallow,large_wide,wide,True,0.0,0.021851174567166443
v3_topup_20_76,rbc_v3topup_050_train_round_shallow_balanced,train,round,shallow,medium_balanced,balanced,True,0.0,0.022517413576858058
v3_topup_20_76,rbc_v3topup_052_train_boxy_medium_narrow,train,boxy,medium,elongated,narrow,True,0.0,0.020470208301085924
v3_topup_20_76,rbc_v3topup_053_train_boxy_medium_compact,train,boxy,medium,small_compact,compact,True,0.0,0.019338818030560704
v3_topup_20_76,rbc_v3topup_054_train_boxy_deep_wide,train,boxy,deep,large_wide,wide,True,0.0,0.020356493744366638
v3_topup_20_76,rbc_v3topup_055_train_boxy_medium_balanced,train,boxy,medium,medium_balanced,balanced,True,0.0,0.020031176706941416
v3_topup_20_76,rbc_v3topup_056_train_boxy_deep_compact,train,boxy,deep,small_compact,compact,True,0.0,0.020885553488136446
v3_topup_20_76,rbc_v3topup_057_train_boxy_shallow_narrow,train,boxy,shallow,elongated,narrow,True,0.0,0.01981672343578856
v3_topup_20_76,rbc_v3topup_058_train_boxy_medium_wide,train,boxy,medium,large_wide,wide,True,0.0,0.019075320114235763
v3_topup_20_76,rbc_v3topup_059_train_boxy_deep_balanced,train,boxy,deep,medium_balanced,balanced,True,0.0,0.01984375114125675
v3_topup_20_76,rbc_v3topup_060_train_boxy_shallow_compact,train,boxy,shallow,small_compact,compact,True,0.0,0.022818450052488542
v3_topup_20_76,rbc_v3topup_062_train_boxy_shallow_wide,train,boxy,shallow,large_wide,wide,True,0.0,0.021381318414928362
v3_topup_20_76,rbc_v3topup_063_train_boxy_shallow_balanced,train,boxy,shallow,medium_balanced,balanced,True,0.0,0.02149195871890588
v3_topup_20_76,rbc_v3topup_064_train_boxy_medium_compact,train,boxy,medium,small_compact,compact,True,0.0,0.021003651599611362
v3_topup_20_76,rbc_v3topup_066_train_LD_dominant_deep_wide,train,LD_dominant,deep,large_wide,wide,True,0.0,0.019677184744269948
v3_topup_20_76,rbc_v3topup_067_train_LD_dominant_medium_compact,train,LD_dominant,medium,small_compact,compact,True,0.0,0.0199384950269307
v3_topup_20_76,rbc_v3topup_068_train_LD_dominant_deep_balanced,train,LD_dominant,deep,medium_balanced,balanced,True,0.0,0.02025635384238904
v3_topup_20_76,rbc_v3topup_069_train_LD_dominant_shallow_narrow,train,LD_dominant,shallow,elongated,narrow,True,0.0,0.020179745854792902
v3_topup_20_76,rbc_v3topup_070_train_LD_dominant_medium_wide,train,LD_dominant,medium,large_wide,wide,True,0.0,0.021173443816371745
v3_topup_20_76,rbc_v3topup_071_train_LD_dominant_deep_compact,train,LD_dominant,deep,small_compact,compact,True,0.0,0.01896822839789514
v3_topup_20_76,rbc_v3topup_072_train_LD_dominant_medium_balanced,train,LD_dominant,medium,medium_balanced,balanced,True,0.0,0.020111477358648933
v3_topup_20_76,rbc_v3topup_073_train_LD_dominant_shallow_wide,train,LD_dominant,shallow,large_wide,wide,True,0.0,0.021026224048471983
v3_topup_20_76,rbc_v3topup_075_train_LD_dominant_shallow_compact,train,LD_dominant,shallow,small_compact,compact,True,0.0,0.019460632374281243
v3_topup_20_76,rbc_v3topup_076_train_LD_dominant_shallow_balanced,train,LD_dominant,shallow,medium_balanced,balanced,True,0.0,0.021259643584125507
v3_topup_20_76,rbc_v3topup_078_train_LD_dominant_deep_wide,train,LD_dominant,deep,large_wide,wide,True,0.0,0.020664359649543686
v3_topup_20_76,rbc_v3topup_079_train_LD_dominant_medium_compact,train,LD_dominant,medium,small_compact,compact,True,0.0,0.019268469822010588
v3_topup_20_76,rbc_v3topup_080_train_LD_dominant_deep_balanced,train,LD_dominant,deep,medium_balanced,balanced,True,0.0,0.02020655729296089
v3_topup_20_76,rbc_v3topup_081_train_LD_dominant_shallow_narrow,train,LD_dominant,shallow,elongated,narrow,True,0.0,0.019698132968642916
v3_topup_20_76,rbc_v3topup_082_train_LD_dominant_medium_wide,train,LD_dominant,medium,large_wide,wide,True,0.0,0.02017068827088375
v3_topup_20_76,rbc_v3topup_083_train_LD_dominant_deep_compact,train,LD_dominant,deep,small_compact,compact,True,0.0,0.01944122471140123
v3_topup_20_76,rbc_v3topup_084_train_LD_dominant_medium_balanced,train,LD_dominant,medium,medium_balanced,balanced,True,0.0,0.02038148407989912
v3_topup_20_76,rbc_v3topup_085_val_WD_dominant_shallow_wide,val,WD_dominant,shallow,large_wide,wide,True,0.0,0.021463620447031657
v3_topup_20_76,rbc_v3topup_086_val_WD_dominant_medium_wide,val,WD_dominant,medium,large_wide,wide,True,0.0,0.020515376687897054
v3_topup_20_76,rbc_v3topup_087_val_WD_dominant_shallow_compact,val,WD_dominant,shallow,small_compact,compact,True,0.0,0.020778415363123814
v3_topup_20_76,rbc_v3topup_088_val_sharp_shallow_compact,val,sharp,shallow,small_compact,compact,True,0.0,0.021707039737214263
v3_topup_20_76,rbc_v3topup_089_val_sharp_deep_balanced,val,sharp,deep,medium_balanced,balanced,True,0.0,0.021362555539732413
v3_topup_20_76,rbc_v3topup_090_val_sharp_deep_wide,val,sharp,deep,large_wide,wide,True,0.0,0.021363979101677873
v3_topup_20_76,rbc_v3topup_091_val_sharp_medium_balanced,val,sharp,medium,medium_balanced,balanced,True,0.0,0.021126475855816784
v3_topup_20_76,rbc_v3topup_092_val_sharp_deep_compact,val,sharp,deep,small_compact,compact,True,0.0,0.01868302476309388
v3_topup_20_76,rbc_v3topup_093_val_sharp_medium_narrow,val,sharp,medium,elongated,narrow,True,0.0,0.020932778858770658
v3_topup_20_76,rbc_v3topup_094_val_round_shallow_narrow,val,round,shallow,elongated,narrow,True,0.0,0.02031611410299476
v3_topup_20_76,rbc_v3topup_095_val_round_medium_narrow,val,round,medium,elongated,narrow,True,0.0,0.020469381344058894
v3_topup_20_76,rbc_v3topup_096_val_round_deep_balanced,val,round,deep,medium_balanced,balanced,True,0.0,0.020616865325693123
v3_topup_20_76,rbc_v3topup_097_val_round_deep_wide,val,round,deep,large_wide,wide,True,0.0,0.02158641822818303
v3_topup_20_76,rbc_v3topup_098_val_round_shallow_compact,val,round,shallow,small_compact,compact,True,0.0,0.021401900126135895
v3_topup_20_76,rbc_v3topup_099_val_round_medium_balanced,val,round,medium,medium_balanced,balanced,True,0.0,0.021433319015592762
v3_topup_20_76,rbc_v3topup_100_val_boxy_shallow_narrow,val,boxy,shallow,elongated,narrow,True,0.0,0.0209438277969721
v3_topup_20_76,rbc_v3topup_101_val_boxy_deep_wide,val,boxy,deep,large_wide,wide,True,0.0,0.02227113364754314
v3_topup_20_76,rbc_v3topup_102_val_boxy_medium_balanced,val,boxy,medium,medium_balanced,balanced,True,0.0,0.02198770554431422
v3_topup_20_76,rbc_v3topup_103_val_boxy_deep_compact,val,boxy,deep,small_compact,compact,True,0.0,0.020095998115617048
v3_topup_20_76,rbc_v3topup_104_val_boxy_shallow_wide,val,boxy,shallow,large_wide,wide,True,0.0,0.02253293739195408
v3_topup_20_76,rbc_v3topup_106_val_LD_dominant_shallow_compact,val,LD_dominant,shallow,small_compact,compact,True,0.0,0.02125866614740179
v3_topup_20_76,rbc_v3topup_107_test_WD_dominant_shallow_balanced,test,WD_dominant,shallow,medium_balanced,balanced,True,0.0,0.021909270222489688
v3_topup_20_76,rbc_v3topup_108_test_WD_dominant_medium_wide,test,WD_dominant,medium,large_wide,wide,True,0.0,0.01989971231213454
v3_topup_20_76,rbc_v3topup_109_test_WD_dominant_shallow_narrow,test,WD_dominant,shallow,elongated,narrow,True,0.0,0.020330317832800954
v3_topup_20_76,rbc_v3topup_110_test_sharp_medium_compact,test,sharp,medium,small_compact,compact,True,0.0,0.02203085019118542
v3_topup_20_76,rbc_v3topup_111_test_sharp_medium_wide,test,sharp,medium,large_wide,wide,True,0.0,0.02194330285447373
v3_topup_20_76,rbc_v3topup_112_test_sharp_shallow_balanced,test,sharp,shallow,medium_balanced,balanced,True,0.0,0.02153104059519927
