planned_sample_id,future_dataset_id,source_dataset_id,source_failure_sample_id,target_id,target_reason,neighbor_strategy,split_hint,selection_priority,shape_type,burial_depth_level,size_level,aspect_bin,center_region,center_xyz_m,center_x_m,center_y_m,center_z_m,L_m,W_m,D_m,D_m_or_cavity_size_m,burial_depth_m,depth_to_surface_m,scan_surface,sensor_z_m,axis_order,scan_line_y_m,sensor_x_count,sensor_x_start_m,sensor_x_stop_m,expected_label_fields,geometry_params_json,ground_truth_method,cavity_internal,surface_rbc_mix,comsol_required,plan_only,notes
internal_hard_topup_011,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_cuboid,deep,medium,elongated_y,central,"[-0.001,-0.001,-0.0038]",-0.001,-0.001,-0.0038,0.002625,0.0056,0.0012,0.0012,0.0032,0.0032,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""central"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_012,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_ellipsoid,deep,medium,elongated_y,central,"[-0.001,-0.001,-0.0038]",-0.001,-0.001,-0.0038,0.002625,0.0056,0.0012,0.0012,0.0032,0.0032,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""central"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_013,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_cuboid,deep_plus,medium,compact,x_pos_y_neg,"[0.0105,-0.004,-0.0048]",0.0105,-0.004,-0.0048,0.0035,0.0035,0.0012,0.0012,0.0042,0.0042,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""x_pos_y_neg"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_014,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_ellipsoid,deep_plus,medium,compact,x_pos_y_neg,"[0.0105,-0.004,-0.0048]",0.0105,-0.004,-0.0048,0.0035,0.0035,0.0012,0.0012,0.0042,0.0042,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""x_pos_y_neg"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_015,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_cuboid,shallow,large,compact,x_pos_y_pos,"[0.0135,0.004,-0.0015]",0.0135,0.004,-0.0015,0.005,0.005,0.0014,0.0014,0.0008,0.0008,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""x_pos_y_pos"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_016,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_ellipsoid,shallow,large,compact,x_pos_y_pos,"[0.0135,0.004,-0.0015]",0.0135,0.004,-0.0015,0.005,0.005,0.0014,0.0014,0.0008,0.0008,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""x_pos_y_pos"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_017,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_cuboid,deep_plus,large,elongated_y,x_neg_y_pos,"[-0.012,0.003,-0.0049]",-0.012,0.003,-0.0049,0.00375,0.008,0.0014,0.0014,0.0042,0.0042,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""x_neg_y_pos"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_018,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_ellipsoid,deep_plus,large,elongated_y,x_neg_y_pos,"[-0.012,0.003,-0.0049]",-0.012,0.003,-0.0049,0.00375,0.008,0.0014,0.0014,0.0042,0.0042,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""x_neg_y_pos"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_019,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_cuboid,shallow,medium,elongated_x,x_pos_y_pos,"[0.012,0.005,-0.0014]",0.012,0.005,-0.0014,0.0056,0.002625,0.0012,0.0012,0.0008,0.0008,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""x_pos_y_pos"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
internal_hard_topup_020,comsol_internal_defect_hard_case_topup_pack_v1,comsol_internal_defect_pilot_pack_v2_240,internal_pilot_091,target_01_geometry_branch_cuboid_ellipsoid,cuboid/ellipsoid branch confusion,cuboid_ellipsoid_pair,train,P0,internal_ellipsoid,shallow,medium,elongated_x,x_pos_y_pos,"[0.012,0.005,-0.0014]",0.012,0.005,-0.0014,0.0056,0.002625,0.0012,0.0012,0.0008,0.0008,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m_or_cavity_size_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""burial_depth_level"",""size_level"",""aspect_bin"",""ground_truth_method"",""cavity_internal""]","{""cavity_internal_rule"":""depth_to_surface_m > 0 and depth_to_surface_m + D_m <= 0.0056"",""center_region"":""x_pos_y_pos"",""neighbor_strategy"":""cuboid_ellipsoid_pair"",""steel_block_center_m"":[0.0,0.0,-0.003],""steel_block_size_m"":[0.08,0.02,0.006],""target_hard_case_reason"":""cuboid/ellipsoid branch confusion"",""top_scan_surface_z_m"":0.0}",COMSOL_parametric_internal_cavity,True,False,True,True,22.2 hard-case top-up design row; COMSOL generation deferred to 22.2b; not baseline
