sample_index,split,source_sample_id,source_global_index,hard_case_type,defect_type,defect_center_x,defect_center_y,defect_center_z,defect_axis_x,defect_axis_y,defect_axis_z,defect_depth_or_shape_param,rotation_angle,boundary_irregularity_proxy,component_type_combination,defect_mu,c_magn,mur_magn,Mr_magn_A_per_m,true_rotated_geometry,true_multi_component_geometry,source_component_json,matched_coverage_old_split,matched_coverage_old_sample_index,matched_coverage_source_id
10,train,v3_polygon_repaired_train_013,13,both_bins_wrong_like,multi_defect,-0.00772573981013,-0.0014575757576,226.000000000,0.0142222222222,0.0022,75.0000000000,75.0000000000,-0.350000000000,0.500000000000,rotated_rect|rectangular_notch,1.0,0.25,3.5,60.0,true,true,"[{""axis_x"":0.009244444444444444,""axis_y"":0.0008666666666666666,""axis_z"":75.0,""center_x"":-0.010925739810133332,""center_y"":-0.0021575757575999993,""center_z"":224.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":-0.35},{""axis_x"":0.0063999999999999994,""axis_y"":0.0007333333333333333,""axis_z"":75.0,""center_x"":-0.004525739810133333,""center_y"":-0.0007575757575999994,""center_z"":228.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.0}]",train,13,train_013
11,train,v3_polygon_repaired_train_014,14,both_bins_wrong_like,rotated_rect,0.00515466219982,0.00107474747473,232.000000000,0.0096,0.000933333333333,80.0000000000,80.0000000000,0.350000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.0096,""axis_y"":0.0009333333333333333,""axis_z"":80.0,""center_x"":0.00515466219982222,""center_y"":0.0010747474747333338,""center_z"":232.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":80.0,""rotation_angle"":0.35}]",train,14,train_014
12,train,v3_polygon_repaired_test_008,48,geometry_or_type_interaction,multi_defect,0.0134044444444,-0.00115333333333,226.500000000,0.0133333333333,0.00161333333333,70.0000000000,70.0000000000,0.750000000000,1.00000000000,rotated_rect|rectangular_notch,1.0,0.25,3.5,60.0,true,true,"[{""axis_x"":0.007466666666666667,""axis_y"":0.0006399999999999999,""axis_z"":70.0,""center_x"":0.010204444444444443,""center_y"":-0.0016533333333333333,""center_z"":224.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":0.75},{""axis_x"":0.0063999999999999994,""axis_y"":0.0005866666666666667,""axis_z"":70.0,""center_x"":0.016604444444444443,""center_y"":-0.0006533333333333333,""center_z"":229.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":0.0}]",test,8,test_008
13,train,v3_polygon_repaired_train_024,24,geometry_or_type_interaction,multi_defect,0.0120266666667,0.00160533333333,234.500000000,0.0117333333333,0.00141333333333,70.0000000000,70.0000000000,0.250000000000,1.00000000000,rotated_rect|rectangular_notch,1.0,0.25,3.5,60.0,true,true,"[{""axis_x"":0.007466666666666667,""axis_y"":0.0006399999999999999,""axis_z"":70.0,""center_x"":0.009626666666666665,""center_y"":0.001205333333333333,""center_z"":232.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":0.25},{""axis_x"":0.0063999999999999994,""axis_y"":0.0005866666666666667,""axis_z"":70.0,""center_x"":0.014426666666666666,""center_y"":0.002005333333333333,""center_z"":237.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":0.0}]",train,24,train_024
14,train,v3_polygon_repaired_train_025,25,geometry_or_type_interaction,multi_defect,-0.0187555555556,0.00165555555553,202.333333333,0.0140444444444,0.00211333333333,75.0000000000,75.0000000000,0.750000000000,1.00000000000,rotated_rect|rectangular_notch|rotated_rect,1.0,0.25,3.5,60.0,true,true,"[{""axis_x"":0.007466666666666667,""axis_y"":0.0006399999999999999,""axis_z"":75.0,""center_x"":-0.022666666666666665,""center_y"":0.0025,""center_z"":200.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.75},{""axis_x"":0.0063999999999999994,""axis_y"":0.0005866666666666667,""axis_z"":75.0,""center_x"":-0.015555555555555555,""center_y"":0.0015,""center_z"":205.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.0},{""axis_x"":0.005333333333333333,""axis_y"":0.00052,""axis_z"":75.0,""center_x"":-0.018044444444444443,""center_y"":0.0009666666666666667,""center_z"":202.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":-0.75}]",train,25,train_025
15,train,v3_polygon_repaired_train_026,26,geometry_or_type_interaction,multi_defect,-0.0160355555556,0.00399333333333,210.500000000,0.0147555555556,0.00161333333333,80.0000000000,80.0000000000,0.750000000000,1.00000000000,rotated_rect|rectangular_notch,1.0,0.25,3.5,60.0,true,true,"[{""axis_x"":0.007466666666666667,""axis_y"":0.0006399999999999999,""axis_z"":80.0,""center_x"":-0.019946666666666665,""center_y"":0.0034933333333333335,""center_z"":208.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":80.0,""rotation_angle"":0.75},{""axis_x"":0.0063999999999999994,""axis_y"":0.0005866666666666667,""axis_z"":80.0,""center_x"":-0.012124444444444443,""center_y"":0.0044933333333333336,""center_z"":213.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":80.0,""rotation_angle"":0.0}]",train,26,train_026
16,train,v3_polygon_repaired_val_007,37,geometry_or_type_interaction,multi_defect,0.0177955555556,-0.00408,218.500000000,0.0140444444444,0.00161333333333,75.0000000000,75.0000000000,0.750000000000,1.00000000000,rotated_rect|rectangular_notch,1.0,0.25,3.5,60.0,true,true,"[{""axis_x"":0.007466666666666667,""axis_y"":0.0006399999999999999,""axis_z"":75.0,""center_x"":0.01424,""center_y"":-0.00358,""center_z"":216.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.75},{""axis_x"":0.0063999999999999994,""axis_y"":0.0005866666666666667,""axis_z"":75.0,""center_x"":0.02135111111111111,""center_y"":-0.00458,""center_z"":221.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.0}]",val,7,val_007
17,train,v3_polygon_repaired_train_027,27,rare_y_bin_wrong,rotated_rect,-0.00266666666667,-0.00656565656565,216.000000000,0.0123555555556,0.000833333333333,85.0000000000,85.0000000000,-0.750000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.012355555555555555,""axis_y"":0.0008333333333333333,""axis_z"":85.0,""center_x"":-0.0026666666666666666,""center_y"":-0.006565656565653334,""center_z"":216.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":-0.75}]",train,27,train_027
18,train,v3_polygon_repaired_train_029,29,rare_y_bin_wrong,rotated_rect,0.0048,-0.00494949494949,232.000000000,0.0114666666667,0.000993333333333,75.0000000000,75.0000000000,-0.750000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.011466666666666667,""axis_y"":0.0009933333333333333,""axis_z"":75.0,""center_x"":0.0048,""center_y"":-0.004949494949493333,""center_z"":232.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":-0.75}]",train,29,train_029
19,train,v3_polygon_repaired_val_009,39,rare_y_bin_wrong,rotated_rect,0.0048,0.00313131313133,232.000000000,0.0123555555556,0.000833333333333,85.0000000000,85.0000000000,-0.750000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.012355555555555555,""axis_y"":0.0008333333333333333,""axis_z"":85.0,""center_x"":0.0048,""center_y"":0.003131313131333333,""center_z"":232.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":-0.75}]",val,9,val_009
20,train,v3_polygon_repaired_test_001,41,x_bin_wrong_like,rectangular_notch,0.0256071468453,0.00156,208.000000000,0.0129777777778,0.00145333333333,75.0000000000,75.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.012977777777777777,""axis_y"":0.0014533333333333334,""axis_z"":75.0,""center_x"":0.025607146845333335,""center_y"":0.00156,""center_z"":208.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.0}]",test,1,test_001
21,train,v3_polygon_repaired_train_000,0,x_bin_wrong_like,rotated_rect,-0.0289054159687,-0.00156,200.000000000,0.0124444444444,0.00126666666667,70.0000000000,70.0000000000,0.500000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.012444444444444444,""axis_y"":0.0012666666666666666,""axis_z"":70.0,""center_x"":-0.028905415968728886,""center_y"":-0.00156,""center_z"":200.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":0.5}]",train,0,train_000
22,train,v3_polygon_repaired_train_001,1,x_bin_wrong_like,rectangular_notch,-0.00655365717476,-0.00104,208.000000000,0.0129777777778,0.00136,75.0000000000,75.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.012977777777777777,""axis_y"":0.00136,""axis_z"":75.0,""center_x"":-0.006553657174755556,""center_y"":-0.00104,""center_z"":208.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.0}]",train,1,train_001
23,train,v3_polygon_repaired_train_002,2,x_bin_wrong_like,rectangular_notch,0.0161197096594,-0.00052,216.000000000,0.0135111111111,0.00145333333333,80.0000000000,80.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.013511111111111111,""axis_y"":0.0014533333333333334,""axis_z"":80.0,""center_x"":0.016119709659377774,""center_y"":-0.00052,""center_z"":216.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":80.0,""rotation_angle"":0.0}]",train,2,train_002
24,train,v3_polygon_repaired_train_003,3,x_bin_wrong_like,rectangular_notch,-0.0194179787828,0,224.000000000,0.0140444444444,0.00126666666667,85.0000000000,85.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.014044444444444443,""axis_y"":0.0012666666666666666,""axis_z"":85.0,""center_x"":-0.019417978782755554,""center_y"":0.0,""center_z"":224.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":0.0}]",train,3,train_003
25,train,v3_polygon_repaired_train_005,5,x_bin_wrong_like,rectangular_notch,0.0256071468453,0.00104,200.000000000,0.0129777777778,0.00145333333333,75.0000000000,75.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.012977777777777777,""axis_y"":0.0014533333333333334,""axis_z"":75.0,""center_x"":0.025607146845333335,""center_y"":0.00104,""center_z"":200.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.0}]",train,5,train_005
26,train,v3_polygon_repaired_train_006,6,x_bin_wrong_like,rectangular_notch,-0.00960893355662,0.00156,208.000000000,0.0135111111111,0.00126666666667,80.0000000000,80.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.013511111111111111,""axis_y"":0.0012666666666666666,""axis_z"":80.0,""center_x"":-0.009608933556622222,""center_y"":0.00156,""center_z"":208.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":80.0,""rotation_angle"":0.0}]",train,6,train_006
27,train,v3_polygon_repaired_train_008,8,x_bin_wrong_like,rotated_rect,-0.0224732551647,-0.00104,224.000000000,0.0124444444444,0.00145333333333,70.0000000000,70.0000000000,1.00000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.012444444444444444,""axis_y"":0.0014533333333333334,""axis_z"":70.0,""center_x"":-0.022473255164711114,""center_y"":-0.00104,""center_z"":224.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":1.0}]",train,8,train_008
28,train,v3_polygon_repaired_val_001,31,x_bin_wrong_like,rectangular_notch,-0.0258501395868,0,208.000000000,0.0140444444444,0.00136,85.0000000000,85.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.014044444444444443,""axis_y"":0.00136,""axis_z"":85.0,""center_x"":-0.025850139586826665,""center_y"":0.0,""center_z"":208.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":0.0}]",val,1,val_001
29,train,v3_polygon_repaired_val_002,32,x_bin_wrong_like,rotated_rect,-0.00317677275271,0.00052,216.000000000,0.0124444444444,0.00145333333333,70.0000000000,70.0000000000,1.00000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.012444444444444444,""axis_y"":0.0014533333333333334,""axis_z"":70.0,""center_x"":-0.0031767727527111126,""center_y"":0.00052,""center_z"":216.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":1.0}]",val,2,val_002
