sample_index,split,component_index,presence,hard_case_type,component_type,vertex_ordering,raw_x0,raw_y0,raw_x1,raw_y1,raw_x2,raw_y2,raw_x3,raw_y3,norm_x0,norm_y0,norm_x1,norm_y1,norm_x2,norm_y2,norm_x3,norm_y3,source_geometry_type,is_true_rotated,is_true_multi_component,geometry_feature_tag,selection_name,union_selection_name,component_count,matched_coverage_old_split,matched_coverage_old_sample_index,matched_coverage_source_id
9,train,0,1,both_bins_wrong_like,rotated_rect,clockwise_top_left,2990.42163075,1347.13985895,2450.43170594,1350.43851072,2451.28691196,1490.43589863,2991.27683677,1487.13724686,0.0131630512134,-0.00101906760703,0.00356323032790,-0.000997076595223,0.00357843399038,-6.37606757984e-05,0.0131782548759,-8.57516876049e-05,rotated_rect,true,true,blk1,geom1_uni1_dom,geom1_uni1_dom,2,train,11,train_011
9,train,1,1,both_bins_wrong_like,rectangular_notch,clockwise_top_left,2900.85427136,1573.78787879,2900.85427136,1683.78787879,3260.85427136,1683.78787879,3260.85427136,1573.78787879,0.0115707426019,0.000491919191919,0.0115707426019,0.00122525252525,0.0179707426019,0.00122525252525,0.0179707426019,0.000491919191919,rectangular_notch,false,true,blk2,geom1_uni1_dom,geom1_uni1_dom,2,train,11,train_011
10,train,0,1,both_bins_wrong_like,rotated_rect,clockwise_top_left,1895.02522473,1109.77660938,1375.03492676,1112.95308886,1375.82904663,1242.95066335,1895.81934460,1239.77418387,-0.00631066267154,-0.00260148927082,-0.0155549346354,-0.00258031274094,-0.0155408169488,-0.00171366224433,-0.00629654498495,-0.00173483877422,rotated_rect,true,true,blk1,geom1_uni1_dom,geom1_uni1_dom,2,train,13,train_013
10,train,1,1,both_bins_wrong_like,rectangular_notch,clockwise_top_left,1815.42713568,1331.36363636,1815.42713568,1441.36363636,2175.42713568,1441.36363636,2175.42713568,1331.36363636,-0.00772573981016,-0.00112424242424,-0.00772573981016,-0.000390909090909,-0.00132573981016,-0.000390909090909,-0.00132573981016,-0.00112424242424,rectangular_notch,false,true,blk2,geom1_uni1_dom,geom1_uni1_dom,2,train,13,train_013
11,train,0,1,both_bins_wrong_like,rotated_rect,clockwise_top_left,2270.38238935,1589.56410137,2269.52718333,1729.56148928,2809.51710814,1732.86014105,2810.37231416,1592.86275314,0.000362353588373,0.000597094009132,0.000347149925890,0.00153040992856,0.00994697081140,0.00155240094036,0.00996217447389,0.000619085020938,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,14,train_014
12,train,0,1,geometry_or_type_interaction,rotated_rect,clockwise_top_left,2614.64629180,1201.25529721,2613.38969062,1297.24707265,3033.35370820,1302.74470279,3034.61030938,1206.75292735,0.00648260074306,-0.00199163135196,0.00646026116661,-0.00135168618231,0.0139262881458,-0.00131503531471,0.0139486277223,-0.00195498048436,rotated_rect,true,true,blk1,geom1_uni1_dom,geom1_uni1_dom,2,test,8,test_008
12,train,1,1,geometry_or_type_interaction,rectangular_notch,clockwise_top_left,3004.00000000,1358.00000000,3004.00000000,1446.00000000,3364.00000000,1446.00000000,3364.00000000,1358.00000000,0.0134044444444,-0.000946666666667,0.0134044444444,-0.000360000000000,0.0198044444444,-0.000360000000000,0.0198044444444,-0.000946666666667,rectangular_notch,false,true,blk2,geom1_uni1_dom,geom1_uni1_dom,2,test,8,test_008
13,train,0,1,geometry_or_type_interaction,rotated_rect,clockwise_top_left,2581.71143789,1631.88416198,2581.29256020,1727.88324812,3001.28856211,1729.71583802,3001.70743980,1633.71675188,0.00589709222923,0.000879227746504,0.00588964551472,0.00151922165417,0.0133562411041,0.00153143892016,0.0133636878186,0.000891445012501,rotated_rect,true,true,blk1,geom1_uni1_dom,geom1_uni1_dom,2,train,24,train_024
13,train,1,1,geometry_or_type_interaction,rectangular_notch,clockwise_top_left,2881.50000000,1756.80000000,2881.50000000,1844.80000000,3241.50000000,1844.80000000,3241.50000000,1756.80000000,0.0112266666667,0.00171200000000,0.0112266666667,0.00229866666667,0.0176266666667,0.00229866666667,0.0176266666667,0.00171200000000,rectangular_notch,false,true,blk2,geom1_uni1_dom,geom1_uni1_dom,2,train,24,train_024
14,train,0,1,geometry_or_type_interaction,rotated_rect,clockwise_top_left,765.646291797,1824.25529721,764.389690622,1920.24707265,1184.35370820,1925.74470279,1185.61030938,1829.75292735,-0.0263885103681,0.00216170198138,-0.0264108499445,0.00280164715102,-0.0189448229653,0.00283829801862,-0.0189224833888,0.00219835284898,rotated_rect,true,true,blk1,geom1_uni1_dom,geom1_uni1_dom,3,train,25,train_025
14,train,1,1,geometry_or_type_interaction,rectangular_notch,clockwise_top_left,1195.00000000,1681.00000000,1195.00000000,1769.00000000,1555.00000000,1769.00000000,1555.00000000,1681.00000000,-0.0187555555556,0.00120666666667,-0.0187555555556,0.00179333333333,-0.0123555555556,0.00179333333333,-0.0123555555556,0.00120666666667,rectangular_notch,false,true,blk2,geom1_uni1_dom,geom1_uni1_dom,3,train,25,train_025
14,train,2,1,geometry_or_type_interaction,rotated_rect,clockwise_top_left,1384.47665491,1604.03990189,1084.50235664,1607.96678056,1085.52334509,1685.96009811,1385.49764336,1682.03321944,-0.0153870816905,0.000693599345926,-0.0207199581042,0.000719778537069,-0.0207018071984,0.00123973398741,-0.0153689307847,0.00121355479626,rotated_rect,true,true,blk3,geom1_uni1_dom,geom1_uni1_dom,3,train,25,train_025
15,train,0,1,geometry_or_type_interaction,rotated_rect,clockwise_top_left,918.646291797,1973.25529721,917.389690622,2069.24707265,1337.35370820,2074.74470279,1338.61030938,1978.75292735,-0.0236685103681,0.00315503531471,-0.0236908499445,0.00379498048436,-0.0162248229653,0.00383163135196,-0.0162024833888,0.00319168618231,rotated_rect,true,true,blk1,geom1_uni1_dom,geom1_uni1_dom,2,train,26,train_026
15,train,1,1,geometry_or_type_interaction,rectangular_notch,clockwise_top_left,1388.00000000,2130.00000000,1388.00000000,2218.00000000,1748.00000000,2218.00000000,1748.00000000,2130.00000000,-0.0153244444444,0.00420000000000,-0.0153244444444,0.00478666666667,-0.00892444444444,0.00478666666667,-0.00892444444444,0.00420000000000,rectangular_notch,false,true,blk2,geom1_uni1_dom,geom1_uni1_dom,2,train,26,train_026
16,train,0,1,geometry_or_type_interaction,rotated_rect,clockwise_top_left,2841.64629180,912.255297206,2840.38969062,1008.24707265,3260.35370820,1013.74470279,3261.61030938,917.752927346,0.0105181562986,-0.00391829801862,0.0104958167222,-0.00327835284898,0.0179618437014,-0.00324170198138,0.0179841832778,-0.00388164715102,rotated_rect,true,true,blk1,geom1_uni1_dom,geom1_uni1_dom,2,val,7,val_007
16,train,1,1,geometry_or_type_interaction,rectangular_notch,clockwise_top_left,3271.00000000,769.000000000,3271.00000000,857.000000000,3631.00000000,857.000000000,3631.00000000,769.000000000,0.0181511111111,-0.00487333333333,0.0181511111111,-0.00428666666667,0.0245511111111,-0.00428666666667,0.0245511111111,-0.00487333333333,rectangular_notch,false,true,blk2,geom1_uni1_dom,geom1_uni1_dom,2,val,7,val_007
17,train,0,1,rare_y_bin_wrong,rotated_rect,clockwise_top_left,2446.65212911,448.108235217,1751.71167144,457.205504139,1753.34787089,582.194795086,2448.28832856,573.097526164,0.00349603785082,-0.00701261176522,-0.00885845917431,-0.00695196330574,-0.00882937118416,-0.00611870136609,0.00352512584098,-0.00617934982557,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,27,train_027
18,train,0,1,rare_y_bin_wrong,rotated_rect,clockwise_top_left,2841.49719577,678.860745600,2196.55245449,687.303534743,2198.50280423,836.290769552,2843.44754551,827.847980408,0.0105155057026,-0.00547426169600,-0.000950178586892,-0.00541797643504,-0.000915505702623,-0.00442472820299,0.0105501785869,-0.00448101346394,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,29,train_029
19,train,0,1,rare_y_bin_wrong,rotated_rect,clockwise_top_left,2866.65212911,1902.65368976,2171.71167144,1911.75095868,2173.34787089,2036.74024963,2868.28832856,2027.64298071,0.0109627045175,0.00268435793175,-0.00139179250765,0.00274500639123,-0.00136270451749,0.00357826833088,0.0109917925076,0.00351761987140,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,val,9,val_009
20,train,0,1,x_bin_wrong_like,rectangular_notch,clockwise_top_left,3325.40201005,1625.00000000,3325.40201005,1843.00000000,4055.40201005,1843.00000000,4055.40201005,1625.00000000,0.0191182579564,0.000833333333333,0.0191182579564,0.00228666666667,0.0320960357342,0.00228666666667,0.0320960357342,0.000833333333333,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,test,1,test_001
21,train,0,1,x_bin_wrong_like,rotated_rect,clockwise_top_left,274.912699559,1167.94932988,273.254657814,1357.94209527,973.228003959,1364.05067012,974.886045704,1174.05790473,-0.0351126631190,-0.00221367113410,-0.0351421394166,-0.000947052698222,-0.0226981688185,-0.000906328865896,-0.0226686925208,-0.00217294730178,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,0,train_000
22,train,0,1,x_bin_wrong_like,rectangular_notch,clockwise_top_left,1516.35678392,1242.00000000,1516.35678392,1446.00000000,2246.35678392,1446.00000000,2246.35678392,1242.00000000,-0.0130425460637,-0.00172000000000,-0.0130425460637,-0.000360000000000,-6.47682858738e-05,-0.000360000000000,-6.47682858738e-05,-0.00172000000000,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,train,1,train_001
23,train,0,1,x_bin_wrong_like,rectangular_notch,clockwise_top_left,2776.73366834,1313.00000000,2776.73366834,1531.00000000,3536.73366834,1531.00000000,3536.73366834,1313.00000000,0.00936415410385,-0.00124666666667,0.00936415410385,0.000206666666667,0.0228752652150,0.000206666666667,0.0228752652150,-0.00124666666667,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,train,2,train_002
24,train,0,1,x_bin_wrong_like,rectangular_notch,clockwise_top_left,762.738693467,1405.00000000,762.738693467,1595.00000000,1552.73869347,1595.00000000,1552.73869347,1405.00000000,-0.0264402010050,-0.000633333333333,-0.0264402010050,0.000633333333333,-0.0123957565606,0.000633333333333,-0.0123957565606,-0.000633333333333,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,train,3,train_003
25,train,0,1,x_bin_wrong_like,rectangular_notch,clockwise_top_left,3325.40201005,1547.00000000,3325.40201005,1765.00000000,4055.40201005,1765.00000000,4055.40201005,1547.00000000,0.0191182579564,0.000313333333333,0.0191182579564,0.00176666666667,0.0320960357342,0.00176666666667,0.0320960357342,0.000313333333333,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,train,5,train_005
26,train,0,1,x_bin_wrong_like,rectangular_notch,clockwise_top_left,1329.49748744,1639.00000000,1329.49748744,1829.00000000,2089.49748744,1829.00000000,2089.49748744,1639.00000000,-0.0163644891122,0.000926666666667,-0.0163644891122,0.00219333333333,-0.00285337800112,0.00219333333333,-0.00285337800112,0.000926666666667,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,train,6,train_006
27,train,0,1,x_bin_wrong_like,rotated_rect,clockwise_top_left,637.835015982,1228.90825897,634.030391379,1446.87505652,1333.92377799,1459.09174103,1337.72840259,1241.12494348,-0.0286607108270,-0.00180727827350,-0.0287283485977,-0.000354166289873,-0.0162857995024,-0.000272721726499,-0.0162181617317,-0.00172583371013,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,8,train_008
28,train,0,1,x_bin_wrong_like,rectangular_notch,clockwise_top_left,400.929648241,1398.00000000,400.929648241,1602.00000000,1190.92964824,1602.00000000,1190.92964824,1398.00000000,-0.0328723618090,-0.000680000000000,-0.0328723618090,0.000680000000000,-0.0188279173646,0.000680000000000,-0.0188279173646,-0.000680000000000,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,val,1,val_001
29,train,0,1,x_bin_wrong_like,rotated_rect,clockwise_top_left,1723.26215166,1462.90825897,1719.45752706,1680.87505652,2419.35091367,1693.09174103,2423.15553827,1475.12494348,-0.00936422841493,-0.000247278273501,-0.00943186618565,0.00120583371013,0.00301068290962,0.00128727827350,0.00307832068035,-0.000165833710127,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,val,2,val_002
